"ID";"userId";"username";"parseCanada";"parseUSA";"appliancepartshqCA";"partsexpertCA";"lowesCOM";"partselectCA";"reliablepartsCA";"easyappliancepartsCA";"amresupplyCOM";"universalappliancepartsCA";"partswarehouseCOM";"greenlineappliancespartsCA";"appliancepartsCanadaCom";"apwagnerCA";"bulbsproCOM";"majorappliancepartsCA";"amazonCA";"marconeCOM";"ebayCA";"encompassCOM";"maxDeliveryDays";"isHaveStockTable";"ShortURLApiKey"
"7";"1102872645";"n0n3mi1y";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"8";"427965140";"dkbasil";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"4";"1";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"9";"260979685";"Harzig";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"10";"642580296";"AngelSpeaks";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"11";"5189297515";"";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"12";"195487123";"estupakova";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"13";"609952222";"textsign";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"14";"115088526";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"15";"1661858680";"Sweetness0310";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"1";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"16";"999142843";"Prometeuc";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"17";"2081466669";"billwoowoo";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
"18";"1020202940";"Siva0513";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"0";"282719f4-98b2-43cc-aca7-6f48621d17c5"
